,Institución,Código Único,Nombre del establecimiento,Clasificación,Tipo,Departamento,Provincia,Distrito,UBIGEO,Dirección,Código DISA,Código Red,Código Microrred,DISA,Red,Microrred,Código UE,Unidad Ejecutora,Categoria,Teléfono,Tipo Doc.Categorización,Nro.Doc.Categorización,Horario,Inicio de Actividad,Director Médico y/o Responsable de la Atención de Salud,Estado,Situación,Condición,Inspección,NORTE,ESTE,COTA,CAMAS,lon,lat
17,GOBIERNO REGIONAL,2941,CARLOS CORNEJO ROSELLO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,PUNO,AZANGARO,AZANGARO,210201,JR- FRANCISCO BOLOGNESI Nº 557,29,2,0,PUNO,AZANGARO,NO PERTENECE A NINGUNA MICRORED,916,SALUD AZANGARO,II-1,051-562013,RESOLUCIÓN,,24 HORAS,07/01/1977,WAGNER CACERES LOBATON ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-70.19933924,-14.9041434,3911.312,45.0,-70.19933924,-14.9041434
35,GOBIERNO REGIONAL,1516,CARHUAZ,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,ANCASH,CARHUAZ,CARHUAZ,20601,JR. UNION S/N CARHUAZ,2,1,0,ANCASH,HUAYLAS SUR,NO PERTENECE A NINGUNA MICRORED,740,REGION ANCASH-SALUD RECUAY CARHUAZ,II-1,43394428,RESOLUCIÓN,0522-05-RG-ANCASH-DIRES/DIPER,24 HORAS,01/01/1900,MAGALY MIRTHA SUAREZ ACEVEDO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.6493849,-9.27748394,2643.542,,-77.6493849,-9.27748394
52,GOBIERNO REGIONAL,5263,"HOSPITAL PROVINCIAL ASCOPE ""ROSA SANCHEZ DE SANTILLAN""",HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,ASCOPE,ASCOPE,130201,AVENIDA AV. GRAU S/N NÚMERO S/N DISTRITO ASCOPE PROVINCIA ASCOPE DEPARTAMENTO LA LIBERTAD ,18,2,1,LA LIBERTAD,RED ASCOPE,ASCOPE,1618,SALUD ASCOPE,II-1,044-585836,RESOLUCIÓN,RGR 1347-2011-GRLL-GGR/GRS,7:00 AM - 7:00 AM,02/02/1986,FREDY LUIS CHUQUIPOMA LESCANO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.10125903,-7.71423657,243.0,9.0,-79.10125903,-7.71423657
275,MINSA,5987,HOSPITAL MARIA AUXILIADORA,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,SAN JUAN DE MIRAFLORES,150133,CALLE MIGUEL IGLESIAS N°968,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,141,HOSPITAL DE APOYO DEPARTAMENTAL MARIA AUXILIADORA,III-1,01-2171818,RESOLUCIÓN,,24 HORAS,23/12/1983,JOSE FERNANDO NAVEDA VALLADARES ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.9591024,-12.1605768,,374.0,-76.9591024,-12.1605768
339,ESSALUD,8685,HOSPITAL I ALBRECHT,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,TRUJILLO,TRUJILLO,130101,AV JESUS DE NAZARETH S/N RESIDENCIAL ALBRECHT,18,0,0,LA LIBERTAD,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,044-224048,RESOLUCIÓN,,24 HORAS,11/06/1979,SALOMON CECILIO MENDIVIL BARRANTES ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.0349299,-8.1110707,,28.0,-79.0349299,-8.1110707
390,GOBIERNO REGIONAL,753,HOSPITAL REGIONAL DOCENTE CLINICO QUIRURGICO DANIEL ALCIDES CARRION DE HUANCAYO,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,JUNIN,HUANCAYO,HUANCAYO,120101,AV. DANIEL A.CARRION Nº 1552-1556,17,0,0,JUNIN,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,824,SALUD DANIEL ALCIDES CARRION,III-E,064-232222,RESOLUCIÓN,,24 HORAS,02/08/1958,HENRY FRANCISCO AGUADO TAQUIRE ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-75.221612,-12.073004,3249.0,177.0,-75.221612,-12.073004
433,ESSALUD,12272,CARLOS ALBERTO CORTEZ JIMENEZ,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,TUMBES,TUMBES,TUMBES,240101,PROLONG. AV. TUMBES Nª 1625,33,0,0,TUMBES,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,072 - 592024,RESOLUCIÓN,,24 HORAS,02/02/1988,JORGE HECTOR CUENTAS MENDOZA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-80.44293167,-3.55560167,22.0,34.0,-80.44293167,-3.55560167
657,ESSALUD,10533,COMPLEJO ASISTENCIAL LUIS NEGREIROS VEGA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,CALLAO,CALLAO,CALLAO,70101,AV. TOMAS VALLE DRA.39 - URB. VIPOL,8,0,0,CALLAO,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-2,01-5748989,RESOLUCIÓN,Nº 745-201-GRC,24 HORAS,19/11/2009,CARLOS ENRIQUE CABALLERO LLANOS ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0979946,-12.0157493,,109.0,-77.0979946,-12.0157493
713,MINSA,7634,NACIONAL SERGIO E. BERNALES,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,COMAS,150110,AV. TUPAC AMARU KM. 14.5,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,136,HOSPITAL SERGIO BERNALES,III-1,5580186,RESOLUCIÓN,,24 HORAS,15/08/1940,LUIS ALBERTO PADILLA GONDOLIAS . . ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0395181,-11.9138337,,353.0,-77.0395181,-11.9138337
784,ESSALUD,16481,HOSPITAL I JUANJUI,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,SAN MARTIN,MARISCAL CACERES,JUANJUI,220601,JR. LA LIBERTAD CDRA. 2 S/N (JUANJUI) (CRUCE CON JR LA MERCED - BARRIO LA MERCED),30,0,0,SAN MARTIN,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,I-4,042-545042,RESOLUCIÓN,,24 HORAS,01/01/1986,BESSY AMANDA RIOS RUIZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.72845577,-7.17654997,286.0,,-76.72845577,-7.17654997
857,GOBIERNO REGIONAL,5231,HOSPITAL DISTRITAL LAREDO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,TRUJILLO,LAREDO,130106,AVENIDA ANTENOR ORREGO S/N URB. CENTENARIO NÚMERO S/N DISTRITO LAREDO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ,18,5,5,LA LIBERTAD,RED TRUJILLO,LAREDO,854,SALUD TRUJILLO ESTE,II-1,TEL: 044-446254,RESOLUCIÓN,,24 HORAS,17/06/1979,LUIS HOMERO SALAZAR LEIVA ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-78.95695624,-8.08588907,117.883,10.0,-78.95695624,-8.08588907
897,ESSALUD,8514,HOSPITAL I - PACASMAYO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,PACASMAYO,PACASMAYO,130704,AVENIDA MARISCAL CÁCERES N° 701,18,0,0,LA LIBERTAD,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,044-523159,RESOLUCIÓN,,24 HORAS,10/08/1987,ZENON JISIFREDO MOSTACERO POEMAPE ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.5639532,-7.4048452,33.0,12.0,-79.5639532,-7.4048452
913,ESSALUD,13291,HOSPITAL III YANAHUARA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AREQUIPA,AREQUIPA,YANAHUARA,40126,AV. ZAMACOLA Y AV. ENMEL S/N,4,0,0,AREQUIPA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-2,054-251900,RESOLUCIÓN,,24 HORAS,30/03/1982,JAVIER HERBERT GUTIERREZ MORALES ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-71.54433333,-16.39657333,2343.3,161.0,-71.54433333,-16.39657333
1009,ESSALUD,9043,CENTRO MEDICO ASCOPE,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LA LIBERTAD,ASCOPE,ASCOPE,130201,CARRETERA ASCOPE S/N,18,0,0,LA LIBERTAD,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,I-4,044-431261,RESOLUCIÓN,,24 HORAS,31/03/1988,CESAR SANTIAGO CATALAN SANCHEZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-79.11440667,-7.71742333,173.8,,-79.11440667,-7.71742333
1029,GOBIERNO REGIONAL,365,HOSPITAL DOMINGO OLAVEGOYA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,JUNIN,JAUJA,JAUJA,120401,JIRÓN JR. SAN MARTIN Nº1153 URBANIZACION OLAVEGOYA DISTRITO JAUJA PROVINCIA JAUJA DEPARTAMENTO JUNIN ,17,2,0,JUNIN,JAUJA,NO PERTENECE A NINGUNA MICRORED,826,SALUD JAUJA,II-1,064-362007,RESOLUCIÓN,1673-2014-DRSJ/OEGDRH,24 HORAS,21/09/1921,FAVIO JUAN ALVA MALDONADO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-75.4968676,-11.77722745,3416.0,119.0,-75.4968676,-11.77722745
1058,ESSALUD,8317,HOSPITAL AURELIO DIAZ UFANO Y PERAL,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,CALLE MAJES S/N G-11 - URB. LOS PINOS,21,0,0,LIMA ESTE,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,II-1,4594857,RESOLUCIÓN,,24 HORAS,26/03/1999,YVONNE ROSARIO CHAVEZ PINO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-76.9955667,-11.9684779,,54.0,-76.9955667,-11.9684779
1061,MUNICIPALIDAD DISTRITAL,19787,HOSPITAL MUNICIPAL LOS OLIVOS,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,LIMA,LIMA,LOS OLIVOS,150117,AVENIDA AV NARANJAL 318 LOS OLIVOS DISTRITO LOS OLIVOS PROVINCIA LIMA DEPARTAMENTO LIMA ,23,0,0,LIMA SUR,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,Sin Categoría,(51) 1-6138282,RESOLUCIÓN,R 1209-2016-DESP-DISAIILS,L-D: 00:00-24:00,01/01/2006,WALDO CARDENAS BERROCAL ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-77.0656159,-11.97723,,10.0,-77.0656159,-11.97723
1261,GOBIERNO REGIONAL,3494,HOSPITAL DE APOYO CANGALLO,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,AYACUCHO,CANGALLO,CANGALLO,50201,JR. SANTA ROSA Nº 110,5,5,0,AYACUCHO,AYACUCHO CENTRO,NO PERTENECE A NINGUNA MICRORED,1045,SALUD CENTRO AYACUCHO,II-1,066-793648,RESOLUCIÓN,Nº 1510-2012-GRA/GG-GRDS-DIRESA-DR,24 HORAS,20/08/1980,ELVIS GUSTAVO POLO DIAZ ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-74.142245,-13.63038833,2560.4,21.0,-74.142245,-13.63038833
1291,GOBIERNO REGIONAL,2864,HOSPITAL HIPOLITO UNANUE DE TACNA,HOSPITALES O CLINICAS DE ATENCION GENERAL,ESTABLECIMIENTO DE SALUD CON INTERNAMIENTO,TACNA,TACNA,TACNA,230101,CALLE FEDERICO BARRETO S/N,32,0,0,TACNA,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,970,REGION TACNA-HOSPITAL DE APOYO HIPOLITO UNANUE,II-2,052-243361,RESOLUCIÓN,RD 1131-2014-OAJ-DR/DRS.T/GOB.REG.TACNA,24 HORAS,01/01/1900,CLAUDIO WILLBERT RAMIREZ ATENCIO ,ACTIVADO, ,EN FUNCIONAMIENTO, ,-70.25524329,-18.01515983,600.446,224.0,-70.25524329,-18.01515983
